Unit Name,Unit Code,Exam,Semesters,URL,Unit Coordinator,Contact Hours,Prerequisites,Description
Feeding the World,AGRI1001,No,"Semester 1, Semester 1",https://handbooks.uwa.edu.au/unitdetails?code=AGRI1001,Professor Megan Ryan,"[('Lectures', '1 x 2 h (double) lecture per week'), ('Workshops', '1 x 2 h double per week'), ('Fieldtrips', '2 x 1 Saturdays at end of wk 3 and end of week 10')]",,"In this unit you will learn about how agricultural systems vary globally across a range of regions and cultures. You will explore the drivers of global food security You will be introduced to the major foods produced around the world and some of the fascinating ways in which agriculture, culture and diet are intertwined. The major Australian agricultural systems will be introduced. You will review the roles that agricultural innovation, emerging technologies and research will have in adaptation to challenges such as global warming and increasing global population and affluence. Means to improve environmental outcomes will be emphasised. You will also learn how changing community preferences and expectations of healthy eating, animal welfare, and safety and acceptability of new and emerging technologies are impacting agricultural systems. You will view research projects currently underway at UWA and interact with UWA researchers who are having global impact. You will engage with the agricultural sector by visiting commercial farms, as well as meet and interact with Western Australian farmers and industry leaders."
Introduction to Urban Design,URBD1000,No,"Semester 1, Semester 1",https://handbooks.uwa.edu.au/unitdetails?code=URBD1000,Dr Rob Cameron,[],,"While our urban settlements can be viewed as our most enduring cultural artefacts, the form and evolution of the city is emerging as a significant global issue confronting contemporary societies. This unit seeks to develop an appreciation of the historic evolution of the city and the range of forces impacting on city development both across time and in different social, political and economic circumstances. This unit provides the opportunity for students to develop practical skills in the generation, representation, and communications of design."
Electronic Music: Methods and Means,MUSC1055,Yes,Semester 2,https://handbooks.uwa.edu.au/unitdetails?code=MUSC1055,Dr. Christopher Tonkin,[],,"This unit introduces the fundamental concepts and techniques of sound design, composition and production toward the formation of new electronic music. Lectures provide historical context, and a framework for analysis and criticism, examining the practice of the discipline from its origins through to the present day. Students experiment directly with historical and contemporary techniques to contextualise and facilitate the creation of their own original electronic music compositions in computer laboratory sessions. Topics covered in the unit include electronic music history and practice, composition, sound synthesis, sound editing, effects processing, mixing, production, and the World Wide Web as a creative resource and means of dissemination."
Music in Action,MUSC2342,No,Semester 2,https://handbooks.uwa.edu.au/unitdetails?code=MUSC2342,Dr Cecilia Sun,"[('seminars and tutorials', '2 hours per week')]",,"This unit focuses on the study of music in and as performance. Students will hone in on questions related to the changing circumstances surrounding musical performance, including its underlying ideology, types of musical training, locations, and relationship to musical texts. They will consider how creativity in performances and interpretation can reinforce or change the meaning of a musical work. This unit will also consider different types of performances as spectacle and commemoration; and examine the ways in which the body is engaged in performative acts. Students will be supported to develop increasingly independent research and critical reading skills in this unit."
Curatorial Practices in Contemporary Arts,ARTF2000,No,Semester 1,https://handbooks.uwa.edu.au/unitdetails?code=ARTF2000,Dr Ionat Zurr,[],,"This unit examines the principles, methods, and applications of curatorial practice of contemporary art. Key themes include the roles and responsibilities of developing  exhibitions, the use of alternative and non-gallery based exhibition spaces, exhibition design, and the dynamics and social relations that shape the context of curatorial practice. Students are given an opportunity to discuss emergent issues, explore practical methods, grapple with theoretical problems and form arguments through written and applied research. This unit will be partly taught in art organisations within the museum and gallery sector so that students can acquire an experiential grounding in the processes and practices of curating with particular reference to the Australian context. Curatorial Practice is a core unit for students enrolled in the Fine Arts Major."
Drawing Foundations,ARTF1054,No,Semester 1,https://handbooks.uwa.edu.au/unitdetails?code=ARTF1054,Andy Quilty,[],,"This drawing unit welcomes students from all disciplines and is structured in such a way that it caters to those who have no or limited prior drawing experience as well as to those who wish to advance their existing skills. This unit explores drawing as a fundamental process in the development and communication of ideas. Undertaking structured studio workshops supported by a weekly lecture and online learning content, students will acquire the foundational skills necessary to begin developing a competent and engaging visual language. The unit introduces a range of practical methodologies for observation and recording as well as experimental, conceptual, process-based and non-representational approaches to mark making. Students produce a folio of in-class and independently produced drawings followed by a dedicated drawing project with supporting research and critical documentation. This unit may involve working at off-campus locations so that students have the opportunity to learn ‘in situ'. Drawing Foundations is a complementary unit for students enrolled in the Fine Arts major."
Global Oceans Challenges,OCEN1001,No,Semester 2,https://handbooks.uwa.edu.au/unitdetails?code=OCEN1001,Dr Arnold van Rooijen    and  A/Prof Marco Ghisalberti    and  A/Prof Scott Draper,[],,"The ocean drives global systems that make the Earth habitable. Our rainwater, drinking water, weather, climate, coastlines, and much of the food, oxygen & energy that we consume are all ultimately directly provided or regulated by the ocean. Careful management of this essential global resource is a key feature of a sustainable future. However, there has been a continuous deterioration of our capacity to conserve and sustainably use the resources of the world's oceans due to climate impacts, pollution, water quality deterioration and an incomplete understanding of ocean environments. This gives rise to a range of oceans challenges that society is attempting to address through a number of global initiatives, such as the UN Sustainable Development Goals (SDG) framework. This unit will introduce critical global oceans challenges, including : a.	Pollution: Ending, and recovering from, marine debris and nutrient pollution b.	Conservation: Managing, protecting and restoring critical ocean ecosystems c.	   Food: Building secure and sustainable aquatic food industries d.	Energy: Providing affordable, reliable and sustainable energy from the ocean e.	Coastal protection: Building the resilience of coastal systems and communities in a changing climate f.	   Global understanding: Increasing knowledge, exploration, research capacity and technology transfer for the marine  environment In each case, students will gain an understanding of the ocean processes that shape the challenge, the global extent of the challenge faced, and potential solution pathways."
Issues in Women's Health Across the Lifespan,IMED1108,No,Semester 2,https://handbooks.uwa.edu.au/unitdetails?code=IMED1108,Dr Demelza Ireland    and  Dr Philippa Martyr,"[('lectures', '2 hours per week'), ('tutorials', '2 hours per week')]",,"Determinants of our health include the social, economic and physical environments in which we live, and our individual characteristics and behaviours, especially our sex and gender. Whilst life expectancy is higher for women than men globally, many biological and social factors combine to create a lower quality of life for women. This unit explores determinants of women's health across the lifespan: from conception, through childhood, into the reproductive years and beyond to healthy ageing and death. Students will consider how these factors inform health decision making by the individual, their health practitioner and the healthcare system. Students will identify barriers and enablers to good health decision making and consider how to utilise/address these as part of health promotion strategies at a local, national, and international level. In this unit, students will begin to develop their research reading, writing, and science communication skills through both written and video assessments. They will also begin to learn how to carry out effective peer review and to successfully work as a team. This unit is the first of three core units in the Women's Health Minor."
Mental Wellbeing for Today's World,IMED2200,Yes,Not Available In 2025,https://handbooks.uwa.edu.au/unitdetails?code=IMED2200,Dr Kellie Bennett    and  Dr Zaza Lyons,"[('Lectures', '2 hours per week'), ('Workshop/practical classes', '2 hours per week')]",,"Good mental wellbeing is a fundamental attribute in today's hectic world for individuals, their families and the community as a whole. Conversely, mental illness is a major cause of disability, diminished quality of life and reduced productivity in Australia. This unit provides students with a detailed understanding of mental health and wellbeing, explores challenges to mental wellbeing at different stages of life, and educates and equips students with strategies to enhance, practice and promote positive lifelong mental wellbeing for themselves and others. The unit introduces students to a range of interrelated topics that will enable a thorough exploration of what it means to be mentally healthy and how this can be maintained over a lifetime. There is an emphasis on positive psychology which includes teaching and discussion of topics such as positive emotion; engagement; developing positive relationships; sleep; creativity; happiness; and the practice of mindfulness. The unit utilises an interactive and engaging format that will provide students with knowledge and skills that are relevant to maintaining good mental wellbeing throughout the lifespan. Enrolment for this unit is currently full, please click here to be added to the waitlist."
Financial Accounting,ACCT1101,Yes,"Semester 1, Semester 2, Semester 1",https://handbooks.uwa.edu.au/unitdetails?code=ACCT1101,Leo Langa,"[('lectures/tutorials/seminars/workshops', 'up to 3 hours per week')]",,"This unit provides an introduction to financial reporting as well as a foundation for those who may later wish to specialise in accounting. No prior knowledge of the subject is required. Topics include the core concepts and practices underlying the preparation of financial statements, financial statement analysis and the factors in the business environment that influence the demand and supply of accounting information. The understanding of the business environment, measurement concepts and analytical skills gained through this unit are relevant to both accounting and non-accounting majors."
